p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
RPL35A 3.38756444158088e-54 0.402003017297495 1 1 4.64570587518403e-50 0 RPL35A
BCL11B 1.49984227177566e-53 0.422319896225101 1 1 2.05688369151315e-49 0 BCL11B
RPL5 3.08004471131643e-53 0.412944959715148 1 1 4.22397331709935e-49 0 RPL5
RPS2 3.83473925193828e-53 0.287976272930211 1 1 5.25896141010815e-49 0 RPS2
IL23A 5.29183413439393e-53 0.255162969018286 1 1 7.25722133190784e-49 0 IL23A
RPL19 2.20587032327979e-51 0.310781165497789 1 1 3.0251305613459e-47 0 RPL19
USP10 3.48468553146501e-51 0.264280039436004 1 1 4.77889773785112e-47 0 USP10
OCIAD2 2.4573927648368e-50 0.50073859395244 1 1 3.37006843769718e-46 0 OCIAD2
RPLP1 1.73416676354565e-49 0.312790146917884 1 1 2.37823629952651e-45 0 RPLP1
SPOCK2 3.60521408372378e-49 0.466546467505287 1 1 4.94419059441879e-45 0 SPOCK2
PRDX2 1.16649637846217e-48 0.505485253120005 1 1 1.59973313342302e-44 0 PRDX2
CD40LG 1.86391154078138e-48 0.405489563152281 1 1 2.55616828702759e-44 0 CD40LG
CCDC104 2.67469257369546e-48 0.379270331530393 1 1 3.66807339556596e-44 0 CCDC104
RPL36 1.20014781044373e-47 0.412064021099134 1 1 1.64588270724253e-43 0 RPL36
GIMAP5 4.91964061502903e-47 0.521725217035497 1 1 6.74679513945081e-43 0 GIMAP5
EPHX2 3.09247594007402e-46 0.314350003971176 1 1 4.24102150421751e-42 0 EPHX2
SH3YL1 4.97902205150748e-46 0.360873172713066 1 1 6.82823084143736e-42 0 SH3YL1
RPS16 1.19777925232717e-45 0.381756587496423 1 1 1.64263446664148e-41 0 RPS16
RPL14 1.56591128711408e-45 0.334336216682325 1 1 2.14749073914825e-41 0 RPL14
TMEM66 2.65807244735011e-45 0.528570058446833 1 1 3.64528055429595e-41 0 TMEM66
NPM1 3.65878522193802e-44 0.491533592950255 1 1 5.0176580533658e-40 0 NPM1
LEF1 5.58499249792508e-44 0.650736304062074 1 1 7.65925871165445e-40 0 LEF1
TSHZ2 6.07035080179987e-43 0.311811787628911 1 1 8.32487908958834e-39 0 TSHZ2
RPL36A 1.20270442125081e-42 0.400937238843501 1 1 1.64938884330336e-38 0 RPL36A
RGCC 3.00383521093655e-42 0.530874249840672 1 1 4.11945960827839e-38 0 RGCC
RPL18 3.08915369502245e-42 0.368854050818527 1 1 4.23646537735379e-38 0 RPL18
RPS28 7.41213483770416e-42 0.372783494938784 1 1 1.01650017164275e-37 0 RPS28
RGL4 1.46858740358709e-41 0.355658921737353 1 1 2.01402076527934e-37 0 RGL4
LCK 2.10059552741692e-41 0.495009672079595 1 1 2.88075670629956e-37 0 LCK
RPL7 6.45952294941011e-41 0.36643863555929 1 1 8.85858977282102e-37 0 RPL7
DGKA 8.19648125632065e-41 0.28127876758866 1 1 1.12406543949181e-36 0 DGKA
MGAT4A 1.11836452776947e-39 0.326168988597139 1 1 1.53372511338305e-35 0 MGAT4A
RPSAP58 1.17032355091982e-39 0.389104531227009 1 1 1.60498171773144e-35 0 RPSAP58
RCAN3 4.04652721147181e-39 0.264916135250106 1 1 5.54940741781244e-35 0 RCAN3
TNFRSF25 7.1533277068901e-39 0.354841331976807 1 1 9.81007361722908e-35 0 TNFRSF25
CD69 2.27385008985454e-38 0.422571867538903 1 1 3.11835801322651e-34 0 CD69
PASK 1.41595451975421e-37 0.459765445629816 1 1 1.94184002839093e-33 0 PASK
RPL34 6.14490539175679e-37 0.463796336801166 1 1 8.42712325425526e-33 0 RPL34
TTC39C 9.44948471186244e-36 0.452901812201703 1 1 1.29590233338482e-31 0 TTC39C
CXCR4 9.37571309406339e-35 0.295442806778043 1 1 1.28578529371985e-30 0 CXCR4
DNAJB1 2.95217176897136e-34 0.562146884642621 1 1 4.04860836396732e-30 0 DNAJB1
ETS1 5.12615471447566e-34 0.338164415258371 1 1 7.03000857543192e-30 0 ETS1
TNFRSF4 5.23313081821185e-34 0.371696142859044 1 1 7.17671560409574e-30 0 TNFRSF4
CD5 5.5675466519517e-34 0.289527980902771 1 1 7.63533347848656e-30 0 CD5
FYB 1.39952603097674e-33 0.344135443881045 1 1 1.91930999888151e-29 0 FYB
GLTSCR2 1.96201902520178e-33 0.362923686520855 1 1 2.69071289116172e-29 0 GLTSCR2
RHOH 4.88177745934768e-33 0.356138127066279 1 1 6.69486960774941e-29 0 RHOH
RPL17 5.32826406555517e-33 0.330591088389473 1 1 7.30718133950236e-29 0 RPL17
RPS15 1.08764245346506e-32 0.279198394315992 1 1 1.49159286068199e-28 0 RPS15
JUN 1.12908480163727e-32 0.421760378489684 1 1 1.54842689696535e-28 0 JUN
SIT1 1.19164791083549e-32 0.338738462076743 1 1 1.63422594491979e-28 0 SIT1
TCF7 1.20930011183494e-32 0.523517112480123 1 1 1.65843417337044e-28 0 TCF7
TC2N 1.96776336917354e-32 0.258322746827201 1 1 2.6985906844846e-28 0 TC2N
RPS8 2.49027577601045e-32 0.28851833538041 1 1 3.41516419922074e-28 0 RPS8
AES 5.31179058803101e-32 0.44573608122435 1 1 7.28458961242572e-28 0 AES
RPS26 5.89904066267943e-32 0.351955569410507 1 1 8.08994436479857e-28 0 RPS26
ACAP1 5.96011502189479e-32 0.47571664740928 1 1 8.17370174102652e-28 0 ACAP1
NUCB2 6.09522040320004e-32 0.415930889102079 1 1 8.35898526094854e-28 0 NUCB2
NGFRAP1 2.35213339697447e-31 0.304657666599462 1 1 3.22571574061078e-27 0 NGFRAP1
PSIP1 1.09893520965035e-30 0.325374317211555 1 1 1.5070797465145e-26 0 PSIP1
MYC 4.11377530894201e-30 0.355893634803511 1 1 5.64163145868307e-26 0 MYC
PEBP1 7.72403475204594e-30 0.428859050800032 1 1 1.05927412589558e-25 0 PEBP1
PIM1 1.06991689276369e-29 0.37096676846992 1 1 1.46728402673612e-25 0 PIM1
EEF1B2 3.08287382678885e-29 0.30199545932195 1 1 4.22785316605823e-25 0 EEF1B2
RPL35 4.56856469628301e-29 0.294111062307998 1 1 6.26532962448252e-25 0 RPL35
RPL7A 8.63669536435876e-29 0.273350823656917 1 1 1.18443640226816e-24 0 RPL7A
HINT1 1.01876457515347e-28 0.384511511102904 1 1 1.39713373836548e-24 0 HINT1
RPL4 1.17560225403141e-28 0.299173931049371 1 1 1.61222093117867e-24 0 RPL4
C12orf57 1.22646208745131e-28 0.364385979134087 1 1 1.68197010673073e-24 0 C12orf57
SOCS3 1.29719085608126e-28 0.301287342797789 1 1 1.77896754002984e-24 0 SOCS3
AAK1 1.37589185434633e-28 0.390138825264301 1 1 1.88689808905055e-24 0 AAK1
PBXIP1 1.66419513974409e-28 0.321985204604062 1 1 2.28227721464505e-24 0 PBXIP1
NDFIP1 2.04237292150695e-28 0.336133875928413 1 1 2.80091022455463e-24 0 NDFIP1
RIC3 2.82511435180879e-28 0.288122019074106 1 1 3.87436182207057e-24 0 RIC3
RPL22 5.97273170653878e-28 0.361120082241277 1 1 8.19100426234728e-24 0 RPL22
RPL27 3.00083495781288e-27 0.299740708224814 1 1 4.11534506114458e-23 0 RPL27
RPL6 3.38846547390953e-27 0.26188926005004 1 1 4.64694155091952e-23 0 RPL6
EIF4A2 9.57956669206737e-27 0.294598657217504 1 1 1.31374177615012e-22 0 EIF4A2
RPS21 2.07785262175765e-26 0.33202512303538 1 1 2.84956708547844e-22 0 RPS21
LINC00861 4.89480849536731e-26 0.264282983972264 1 1 6.71274037054673e-22 0 LINC00861
LGALS3BP 5.7876944737556e-26 0.259967939141031 1 1 7.93724420130844e-22 0 LGALS3BP
BTG1 6.00234932603055e-26 0.348805292554103 1 1 8.2316218657183e-22 0 BTG1
TNFAIP3 7.3021384151698e-26 0.32380240902061 1 1 1.00141526225639e-21 0 TNFAIP3
LEPROTL1 1.06569274706883e-25 0.561123594585905 1 1 1.4614910333302e-21 0 LEPROTL1
ZFP36L2 1.21720812129716e-25 0.441890703843209 1 1 1.66927921754692e-21 0 ZFP36L2
GIMAP7 1.99298878448313e-25 0.283898964134316 1 1 2.73318481904016e-21 0 GIMAP7
GPR171 7.84829136839908e-25 0.281797508947886 1 1 1.07631467826225e-20 0 GPR171
RPL24 1.61295092232261e-24 0.288598161270415 1 1 2.21200089487322e-20 0 RPL24
TMEM123 2.6300775424754e-24 0.359702071833268 1 1 3.60688834175076e-20 0 TMEM123
PAG1 2.78058334131134e-24 0.26999150476276 1 1 3.81329199427437e-20 0 PAG1
EBPL 3.63085366234207e-24 0.259243035156889 1 1 4.97935271253592e-20 0 EBPL
FAM210B 4.01459223290457e-24 0.286795420526112 1 1 5.50561178820532e-20 0 FAM210B
SLC2A3 4.39691168191776e-24 0.368532783512501 1 1 6.02992468058201e-20 0 SLC2A3
SCML4 1.57938676227222e-23 0.270163008523333 1 1 2.16597100578012e-19 0 SCML4
ARHGAP15 2.14623122135461e-23 0.337927312413838 1 1 2.94334149696571e-19 0 ARHGAP15
ATP6V0E2 4.04026901479855e-23 0.320240537904886 1 1 5.54082492689473e-19 0 ATP6V0E2
RPL38 4.65236363286481e-23 0.298214990232533 1 1 6.38025148611079e-19 0 RPL38
RP11-664D1.1 1.45850353087478e-22 0.34146056769207 1 1 2.00019174224167e-18 0 RP11-664D1.1
SUSD3 1.30535259982605e-21 0.4284138261278 1 1 1.79016055540144e-17 0 SUSD3
CRIP2 2.55927747684174e-21 0.266613332854306 1 1 3.50979313174076e-17 0 CRIP2
PPA1 2.71157169650619e-21 0.311686371088981 1 1 3.71864942458859e-17 0 PPA1
TRADD 4.47762626671258e-21 0.393844027387401 1 1 6.14061666216963e-17 0 TRADD
SVIP 4.47980761917033e-21 0.340162808449794 1 1 6.1436081689302e-17 0 SVIP
CISH 4.69875842389324e-21 0.414766074726739 1 1 6.44387730252719e-17 0 CISH
MRPS33 1.17366667352623e-20 0.25267023779352 1 1 1.60956647607388e-16 0 MRPS33
GATA3 1.64508542539311e-20 0.252109009225538 1 1 2.25607015238411e-16 0 GATA3
TRAF3IP3 1.81164973367347e-20 0.398092684859085 1 1 2.4844964447598e-16 0 TRAF3IP3
TNFAIP8 8.1975404969169e-20 0.354743897423159 1 1 1.12421070374718e-15 0 TNFAIP8
PPP2R5C 4.82246876642747e-19 0.395441331392955 1 1 6.61353366627863e-15 0 PPP2R5C
CD8B 7.31495097586449e-19 0.378536858045276 1 1 1.00317237683006e-14 0 CD8B
CITED2 1.184101274229e-18 0.302651876757999 1 1 1.62387648747766e-14 0 CITED2
EVL 1.51660299629075e-18 0.349786165830903 1 1 2.07986934911313e-14 0 EVL
IFITM1 8.10784577339298e-18 0.255322514565213 1 1 1.11190996936311e-13 0 IFITM1
SEPT1 1.18814243755488e-17 0.315396580889234 1 1 1.62941853886276e-13 0 SEPT1
NAP1L4 1.54189716542766e-17 0.327125683953638 1 1 2.11455777266749e-13 0 NAP1L4
IL2RG 2.07173905652671e-17 0.252849119457373 1 1 2.84118294212073e-13 0 IL2RG
PPP1R2 3.02834659752878e-17 0.313448338715409 1 1 4.15307452385097e-13 0 PPP1R2
STK17A 1.2716083469804e-16 0.272961177858629 1 1 1.74388368704892e-12 0 STK17A
HSPA8 1.88366467794586e-16 0.326959538435565 1 1 2.58325773933495e-12 0 HSPA8
GYPC 2.01502084089158e-16 0.326386483488675 1 1 2.76339958119871e-12 0 GYPC
SCGB3A1 5.08478978509444e-16 0.336427092030181 1 1 6.97328071127851e-12 0 SCGB3A1
C6orf48 6.28668374767338e-16 0.372599807587088 1 1 8.62155809155927e-12 0 C6orf48
RPS4Y1 9.46779549578947e-16 0.261126873443953 1 1 1.29841347429257e-11 0 RPS4Y1
DDX18 1.893623772274e-15 0.287386480569563 1 1 2.59691564129656e-11 0 DDX18
DENND2D 4.31613633770129e-15 0.328715910761854 1 1 5.91914937352355e-11 0 DENND2D
PIM2 4.80984432917894e-15 0.288509328269661 1 1 6.59622051303599e-11 0 PIM2
TOMM7 5.19401428247188e-15 0.281976924623623 1 1 7.12307118698194e-11 0 TOMM7
MZT2A 1.39138209420546e-14 0.34844476637239 1 1 1.90814140399337e-10 0 MZT2A
TMEM63A 2.00740422050172e-14 0.26072358750663 1 1 2.75295414799606e-10 0 TMEM63A
UXS1 6.63205271108618e-14 0.250595117155517 1 1 9.09519708798358e-10 0 UXS1
GIMAP4 6.70483828662363e-14 0.375493089619459 1 1 9.19501522627564e-10 0 GIMAP4
NDUFS5 1.0675460787e-13 0.32521423128855 1 1 1.46403269232918e-09 0 NDUFS5
CCNL1 2.946016285188e-12 0.312731243387929 1 1 4.04016673350682e-08 0 CCNL1
LY9 5.47508854258533e-12 0.257061974174182 1 1 7.50853642730152e-08 0 LY9
SNRPD2 8.69429013145282e-12 0.280776266151223 1 1 1.19233494862744e-07 0 SNRPD2
ST13 1.67316212353098e-10 0.336814214454489 1 1 2.29457453621039e-06 0 ST13
TBCC 3.05065213089383e-10 0.277029071136365 1 1 4.18366433230779e-06 0 TBCC
MYLIP 1.58227542702548e-09 0.26548090538856 1 1 2.16993252062275e-05 0 MYLIP
UXT 4.81035523365484e-09 0.252364099642864 1 1 6.59692116743425e-05 0 UXT
STMN3 1.42137923352011e-08 0.286608990163172 1 1 0.000194927948084948 0 STMN3
SOD1 1.7910463535805e-08 0.266019592285273 1 1 0.000245624096930029 0 SOD1
CMPK1 3.68452568131169e-07 0.301572985138382 1 1 0.00505295851935086 0 CMPK1
CUTA 4.03953175490424e-07 0.278584994197515 1 1 0.00553981384867567 0 CUTA
LYZ 3.302351638739e-235 2.88412310711899 1 1 4.52884503736667e-231 1 LYZ
S100A9 8.91052684608204e-210 3.35931899243232 1 1 1.22198965167169e-205 1 S100A9
LGALS2 1.48534328240664e-204 2.18517442719797 1 1 2.03699977749246e-200 1 LGALS2
S100A8 9.23198035704037e-198 3.13075055979224 1 1 1.26607378616452e-193 1 S100A8
CST3 2.29777948462244e-197 1.91368290190812 1 1 3.15117478521122e-193 1 CST3
FTL 2.13669175884964e-187 1.60993939699209 1 1 2.93025907808639e-183 1 FTL
TYROBP 2.9246170074797e-185 1.79306750169735 1 1 4.01081976405767e-181 1 TYROBP
FTH1 1.61652364855433e-178 1.38132402261733 1 1 2.21690053162741e-174 1 FTH1
FCN1 1.08426216170357e-169 1.86884404191154 1 1 1.48695712856028e-165 1 FCN1
CD14 1.76687924663312e-158 1.69786556181699 1 1 2.42309819883266e-154 1 CD14
MS4A6A 4.49529686001369e-154 1.7406689475142 1 1 6.16485011382277e-150 1 MS4A6A
LGALS1 5.34637445912063e-148 1.49918772356045 1 1 7.33201793323803e-144 1 LGALS1
LST1 2.23410711416402e-145 1.17815495179343 1 1 3.06385449636453e-141 1 LST1
GPX1 8.22860560131194e-145 1.36644578889382 1 1 1.12847097216392e-140 1 GPX1
TYMP 4.28842032647557e-143 1.46902796620359 1 1 5.88113963572859e-139 1 TYMP
AIF1 1.53769990988797e-142 1.2868124826283 1 1 2.10880165642036e-138 1 AIF1
GRN 1.57056007482383e-139 1.45029947041895 1 1 2.15386608661341e-135 1 GRN
FCER1G 1.07284805874344e-131 1.09663574514946 1 1 1.47130382776075e-127 1 FCER1G
S100A6 6.50236451025776e-131 1.12245134550705 1 1 8.9173426893675e-127 1 S100A6
GSTP1 2.44127301495738e-126 1.47051476369984 1 1 3.34796181271255e-122 1 GSTP1
AP1S2 1.25639527814305e-120 1.29586482608691 1 1 1.72302048444538e-116 1 AP1S2
CFD 3.337042751792e-119 1.23291777854011 1 1 4.57642042980755e-115 1 CFD
CD68 7.0477134964201e-112 1.09634168084305 1 1 9.66523428899052e-108 1 CD68
IFI30 9.50554823791135e-111 0.97027753642022 1 1 1.30359088534716e-106 1 IFI30
CFP 6.55552131039105e-110 1.12232446722487 1 1 8.99024192507029e-106 1 CFP
S100A4 4.15314841534913e-109 0.943171087151796 1 1 5.6956277368098e-105 1 S100A4
NCF2 2.03311983199342e-107 1.2147383208813 1 1 2.78822053759578e-103 1 NCF2
CTSS 6.03905392014283e-106 1.09524951811287 1 1 8.28195854608387e-102 1 CTSS
SLC7A7 1.13675136321154e-105 0.893040912817031 1 1 1.5589408195083e-101 1 SLC7A7
LGALS3 2.14956863950273e-103 1.26829342839686 1 1 2.94791843221404e-99 1 LGALS3
S100A11 6.78063608125722e-100 1.0142810008532 1 1 9.29896432183616e-96 1 S100A11
SERPINA1 9.9801616099892e-100 1.00108062395711 1 1 1.36867936319392e-95 1 SERPINA1
PSAP 4.0558860227851e-99 1.00478167657234 1 1 5.56224209164749e-95 1 PSAP
CEBPD 2.24133406259339e-98 1.15062673409551 1 1 3.07376553344058e-94 1 CEBPD
COTL1 4.92427899853517e-98 0.905243093632928 1 1 6.75315621859113e-94 1 COTL1
SPI1 2.64764669810014e-96 0.951624060912912 1 1 3.63098268177453e-92 1 SPI1
ASGR1 1.46400286995935e-95 0.845876425292623 1 1 2.00773353586226e-91 1 ASGR1
IGSF6 1.61668165498904e-95 0.960490086944837 1 1 2.21711722165197e-91 1 IGSF6
CDA 1.1952948321006e-94 1.22099243922793 1 1 1.63922733274277e-90 1 CDA
SAT1 1.51762666981674e-94 0.984222278843343 1 1 2.08127321498667e-90 1 SAT1
IFITM3 5.94029583842521e-94 0.894514340708007 1 1 8.14652171281633e-90 1 IFITM3
BLVRB 8.65170845810229e-94 1.12027247752748 1 1 1.18649529794415e-89 1 BLVRB
HLA-DRA 1.03344729290208e-91 0.815769323901549 1 1 1.41726961748591e-87 1 HLA-DRA
PLBD1 1.11391410865203e-90 0.941855969874542 1 1 1.5276218086054e-86 1 PLBD1
LILRA5 3.92365282624779e-90 0.79017246294311 1 1 5.38089748591622e-86 1 LILRA5
GABARAP 1.42396003786715e-89 0.975518077616594 1 1 1.95281879593101e-85 1 GABARAP
OAZ1 2.29074110381896e-87 0.768652972196616 1 1 3.14152234977732e-83 1 OAZ1
CYBA 4.09376341692046e-86 0.749388889714778 1 1 5.61418714996472e-82 1 CYBA
FCGRT 5.00400471238167e-85 1.13304507923293 1 1 6.86249206256023e-81 1 FCGRT
CSF3R 5.89879082176991e-84 1.03758206707942 1 1 8.08960173297526e-80 1 CSF3R
ALDH2 1.77086107990301e-83 1.12610246787523 1 1 2.42855888497898e-79 1 ALDH2
APOBEC3A 4.105728871091e-82 0.919658436017377 1 1 5.6305965738142e-78 1 APOBEC3A
PYCARD 5.66165043439899e-82 0.895779976256143 1 1 7.76438740573477e-78 1 PYCARD
RAC1 1.5649864918518e-81 1.02313883580035 1 1 2.14622247492556e-77 1 RAC1
TNFSF13B 2.20403577448074e-81 1.06983957783028 1 1 3.02261466112288e-77 1 TNFSF13B
CD33 4.82612048181009e-81 0.743357589783661 1 1 6.61854162875436e-77 1 CD33
BRI3 1.3035475363645e-80 0.919960791008703 1 1 1.78768509137028e-76 1 BRI3
RAB32 1.61441990269309e-80 0.735266904795194 1 1 2.21401545455331e-76 1 RAB32
NUP214 5.72568127572935e-80 1.01142642446557 1 1 7.85219930153523e-76 1 NUP214
HLA-DRB1 2.74925923010452e-79 0.805142606946958 1 1 3.77033410816534e-75 1 HLA-DRB1
NPC2 4.33640872889826e-79 1.09082714716182 1 1 5.94695093081108e-75 1 NPC2
IL8 4.82327187259208e-78 1.18395069227323 1 1 6.61463504607278e-74 1 IL8
CLEC7A 4.35369524148898e-75 0.412263853237088 1 1 5.97065765417799e-71 1 CLEC7A
MNDA 5.18876333427882e-75 0.869797775568629 1 1 7.11587003662997e-71 1 MNDA
TKT 9.31787485186094e-74 0.999114867249484 1 1 1.27785335718421e-69 1 TKT
FPR1 1.13910257936693e-73 0.985791972873836 1 1 1.56216527734381e-69 1 FPR1
PID1 1.00849254174611e-72 0.33903549729052 1 1 1.38304667175062e-68 1 PID1
CCL3 1.73620116943909e-72 1.11372628226923 1 1 2.38102628376877e-68 1 CCL3
BST1 8.16227425801487e-72 0.713025184515734 1 1 1.11937429174416e-67 1 BST1
CPVL 7.01033674172485e-70 0.955262408176026 1 1 9.61397580760146e-66 1 CPVL
LY86 7.65462419531167e-69 0.821531521331119 1 1 1.04975516214504e-64 1 LY86
HLA-DRB5 2.66266821207658e-68 0.737620327128442 1 1 3.65158318604182e-64 1 HLA-DRB5
RNF130 3.94888768926564e-68 0.909044534630672 1 1 5.41550457705891e-64 1 RNF130
TSPO 4.40561859994866e-68 0.916917893626398 1 1 6.04186534796959e-64 1 TSPO
ODF3B 7.35767712152373e-68 0.761328938730854 1 1 1.00903184044576e-63 1 ODF3B
KLF4 7.8277932217969e-68 0.707664754213609 1 1 1.07350356243723e-63 1 KLF4
ID1 7.52666566846918e-65 0.822742496780704 1 1 1.03220692977386e-60 1 ID1
TMEM176B 2.61166825994171e-64 0.706104638941256 1 1 3.58164185168406e-60 1 TMEM176B
SMCO4 4.07354606178179e-64 0.762452032144614 1 1 5.58646106912755e-60 1 SMCO4
S100A12 1.04441559805063e-63 1.0498268996227 1 1 1.43231155116663e-59 1 S100A12
CTSZ 5.08754306065846e-63 0.716852214612402 1 1 6.97705655338702e-59 1 CTSZ
