p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
RPL19 1.78384481137088e-70 0.271518568243455 0.999 0.993 5.83995114346598e-66 0 RPL19
RPSA 3.40224051836585e-69 0.397604820650081 0.99 0.948 1.11382550090261e-64 0 RPSA
RPL14 9.48511997286531e-63 0.300012080560391 0.996 0.985 3.10523857671665e-58 0 RPL14
RPS5 1.36855243237127e-62 0.348535308770347 0.99 0.975 4.48036695309708e-58 0 RPS5
RPS10 1.14139332736117e-60 0.359421596159777 0.993 0.968 3.73669347511499e-56 0 RPS10
NPM1 1.18681333073089e-60 0.511699516732762 0.92 0.798 3.88538948214679e-56 0 NPM1
RPLP0 2.247906886818e-60 0.377500991543757 0.99 0.937 7.35919756606477e-56 0 RPLP0
RPS15 9.02032937627178e-60 0.282987761425742 1 0.989 2.95307543120386e-55 0 RPS15
RPL18 1.2065440983611e-57 0.336053682573893 0.999 0.978 3.94998406921457e-53 0 RPL18
RPL36 1.36667118183978e-57 0.369269303349184 0.99 0.948 4.47420811510706e-53 0 RPL36
RPL7 3.95967560386351e-56 0.408065820671065 0.984 0.965 1.29631859919284e-51 0 RPL7
CD3E 2.38801213397924e-53 0.584582578626605 0.73 0.399 7.81787412422124e-49 0 CD3E
RPL36A 4.40961541415593e-53 0.404044682589295 0.965 0.887 1.44361989428637e-48 0 RPL36A
RPL4 3.22495231368521e-52 0.353336459006361 0.994 0.956 1.05578488845426e-47 0 RPL4
EEF1B2 8.54427034570383e-52 0.391559337753571 0.948 0.867 2.79722322577652e-47 0 EEF1B2
NOSIP 2.58244133934668e-49 0.669866486830782 0.633 0.357 8.45439645675316e-45 0 NOSIP
PRKCQ-AS1 3.46000193013612e-48 0.734075643899927 0.341 0.108 1.13273543188796e-43 0 PRKCQ-AS1
RPL17 1.86063067731284e-47 0.31954035823595 0.978 0.957 6.09133271138678e-43 0 RPL17
RPS19 2.91396131640332e-47 0.254559485439248 0.999 0.992 9.53972655764118e-43 0 RPS19
RPS8 3.26488490536074e-47 0.294886343906794 0.997 0.984 1.068858020317e-42 0 RPS8
RPL22 3.89749553328963e-46 0.444458619731661 0.913 0.776 1.27596208768836e-41 0 RPL22
LEF1 2.54390407163814e-45 0.713820673725738 0.329 0.107 8.32823314972895e-41 0 LEF1
BTG1 9.10080668411542e-45 0.418109170691879 0.948 0.857 2.97942209224571e-40 0 BTG1
GLTSCR2 5.67764662722096e-42 0.399609210491984 0.919 0.803 1.8587479528196e-37 0 GLTSCR2
JUNB 1.56166971948763e-41 0.473486867230473 0.913 0.904 5.1125943276586e-37 0 JUNB
PIK3IP1 2.43278648636743e-41 0.629117687160632 0.436 0.186 7.96445639906969e-37 0 PIK3IP1
RPS26 3.59364576777199e-41 0.337853789039491 0.967 0.897 1.17648775145319e-36 0 RPS26
TMEM66 1.23906988782045e-40 0.492351341491585 0.842 0.701 4.05646699874661e-36 0 TMEM66
CD7 4.63983776619757e-40 0.461085244717567 0.58 0.293 1.51899008789776e-35 0 CD7
RPS21 6.63127698779752e-39 0.348621049185654 0.943 0.838 2.17094746026515e-34 0 RPS21
RPL38 2.21876615665623e-38 0.347366073353096 0.951 0.873 7.26379664366118e-34 0 RPL38
IL7R 1.35420237796454e-37 0.511146055366712 0.607 0.33 4.4333877449803e-33 0 IL7R
RPL24 9.09412090116367e-37 0.287039719993391 0.987 0.941 2.97723330062296e-32 0 RPL24
MAL 1.78084603196249e-34 0.645447415912098 0.267 0.087 5.83013373943879e-30 0 MAL
RPL37 5.04187346899156e-34 0.294414845751726 0.987 0.943 1.65060853627846e-29 0 RPL37
TCF7 3.92317859784301e-33 0.540168501067305 0.388 0.178 1.28437020936184e-28 0 TCF7
RPL35 8.17089119936485e-33 0.257717364812867 0.991 0.965 2.67498636084806e-28 0 RPL35
RPL27 5.82139530118608e-32 0.259212858683798 0.977 0.951 1.9058083937023e-27 0 RPL27
CD27 3.18616348471939e-31 0.425567580104584 0.404 0.181 1.04308620162743e-26 0 CD27
RPS4Y1 5.20323289324698e-31 0.328481699770454 0.939 0.87 1.70343438459119e-26 0 RPS4Y1
RPL37A 1.0507661290398e-30 0.254856722275965 0.986 0.945 3.4399981532505e-26 0 RPL37A
RPL34 2.09134926617402e-30 0.416733164800906 0.93 0.902 6.84665922760049e-26 0 RPL34
LTB 1.59173736427342e-29 0.295807409239227 0.901 0.634 5.21102978315833e-25 0 LTB
C6orf48 2.18194521282445e-29 0.519008226504174 0.693 0.493 7.14325223774469e-25 0 C6orf48
RPSAP58 7.74889381236765e-29 0.356466510587942 0.845 0.697 2.53683285629292e-24 0 RPSAP58
LEPROTL1 1.8136604283467e-24 0.471899658905169 0.397 0.211 5.93756151032144e-20 0 LEPROTL1
RGCC 5.4259772569705e-23 0.467490417108958 0.362 0.184 1.776356434387e-18 0 RGCC
AES 4.55246809931182e-22 0.367545716305505 0.645 0.439 1.4903870063527e-17 0 AES
C12orf57 1.2377583483732e-20 0.522341480523725 0.429 0.257 4.05217328090418e-16 0 C12orf57
LCK 1.56808794826325e-20 0.4005091811434 0.506 0.31 5.13360632502423e-16 0 LCK
FLT3LG 2.81190503307254e-20 0.493643232241693 0.28 0.135 9.20561469727289e-16 0 FLT3LG
NDFIP1 7.37396116519098e-20 0.506354477122056 0.445 0.282 2.41408740626022e-15 0 NDFIP1
TMEM123 7.54444408814332e-20 0.390459941641962 0.548 0.385 2.46990010557636e-15 0 TMEM123
GIMAP5 2.55363078120385e-19 0.381954828024803 0.412 0.241 8.36007645150516e-15 0 GIMAP5
TOMM7 3.63163513049781e-19 0.302891165633516 0.839 0.758 1.18892470902237e-14 0 TOMM7
CD3G 4.0325919881844e-18 0.360019139249447 0.336 0.178 1.32018996509181e-13 0 CD3G
RHOH 1.94595820716412e-17 0.441397087599594 0.365 0.209 6.37067797861389e-13 0 RHOH
HINT1 7.58557343037349e-17 0.296412037107536 0.742 0.606 2.48336502963567e-12 0 HINT1
RGS10 1.62419242572394e-16 0.36383286513751 0.529 0.377 5.31728116333505e-12 0 RGS10
DNAJB1 6.49281128835943e-16 0.458846358533307 0.397 0.255 2.12561655958311e-11 0 DNAJB1
GYPC 1.91631720363457e-15 0.386659434893779 0.4 0.255 6.27363926125887e-11 0 GYPC
TRAT1 1.20788672952682e-14 0.364109020884285 0.264 0.141 3.95437957512492e-10 0 TRAT1
EIF4A2 3.26784420615747e-14 0.307085842843896 0.736 0.607 1.06982683621183e-09 0 EIF4A2
OCIAD2 2.68018048114916e-13 0.364816888675648 0.325 0.192 8.77437485918612e-09 0 OCIAD2
EVL 4.48710808955747e-13 0.306206845522014 0.635 0.496 1.46898944635932e-08 0 EVL
AQP3 5.71371983137756e-13 0.32547541353807 0.254 0.137 1.87055759839639e-08 0 AQP3
ZFP36L2 9.47025689107367e-13 0.294548905964519 0.738 0.622 3.1003727009997e-08 0 ZFP36L2
LAT 5.87237847302965e-12 0.312937386552128 0.312 0.187 1.92249926450045e-07 0 LAT
COMMD6 7.37844677611529e-12 0.264307613134126 0.675 0.576 2.41555590556462e-07 0 COMMD6
SOD1 2.90329643523453e-11 0.303849897383513 0.597 0.483 9.50481186967081e-07 0 SOD1
PEBP1 4.39788404284796e-11 0.26719686610706 0.475 0.348 1.43977927794757e-06 0 PEBP1
PRDX2 6.46284387388385e-11 0.311840511720841 0.377 0.26 2.11580582743209e-06 0 PRDX2
ACAP1 7.97965143786478e-11 0.414045698943181 0.394 0.271 2.61237828772817e-06 0 ACAP1
TRAF3IP3 1.13110148045514e-10 0.382210786157422 0.554 0.457 3.70300002671402e-06 0 TRAF3IP3
PPA1 1.6465583728621e-10 0.285762097466845 0.397 0.287 5.39050280107596e-06 0 PPA1
SLC2A3 1.75621748220658e-10 0.298255478461072 0.336 0.222 5.7495047932479e-06 0 SLC2A3
ST13 9.6373129449349e-10 0.286213607887968 0.48 0.376 3.15506351191279e-05 0 ST13
RSL1D1 5.60937445949696e-08 0.292768876730086 0.401 0.302 0.00183639701055011 0 RSL1D1
EEF1G 5.75458209160478e-08 0.28290034095068 0.312 0.222 0.00188393508514957 0 EEF1G
PSIP1 1.19608791683267e-07 0.291107504249605 0.251 0.167 0.00391575262212681 0 PSIP1
EIF3E 2.16954427066535e-07 0.287712099104877 0.435 0.355 0.00710265403330421 0 EIF3E
BTG2 9.01765894485868e-07 0.263619671865987 0.425 0.34 0.0295220118536783 0 BTG2
CCDC109B 1.06739067249947e-06 0.328283993015011 0.388 0.305 0.0349442358362877 0 CCDC109B
RPL39 3.22759180274081e-05 0.270920446437944 0.326 0.257 1 0 RPL39
SNHG8 7.21613259813521e-05 0.322266881403612 0.3 0.234 1 0 SNHG8
MRPS21 0.000302733390815444 0.310366625316372 0.271 0.21 1 0 MRPS21
SEPT1 0.000963372127969552 0.269924376117532 0.272 0.219 1 0 SEPT1
FBL 0.00706237218420716 0.261126011078714 0.31 0.265 1 0 FBL
S100A9 0 3.8383389249797 0.996 0.216 0 1 S100A9
S100A8 0 3.76859180564017 0.971 0.123 0 1 S100A8
LGALS2 0 2.57082212344882 0.902 0.061 0 1 LGALS2
FCN1 0 2.37527549356903 0.954 0.151 0 1 FCN1
CD14 7.71547017446789e-291 1.94667846778393 0.664 0.029 2.5258906257173e-286 1 CD14
TYROBP 2.89204894443954e-283 2.10729514255458 0.994 0.265 9.46798983430616e-279 1 TYROBP
MS4A6A 6.14633339958351e-274 2.00107249283443 0.683 0.042 2.01218662835565e-269 1 MS4A6A
CST3 2.81940993621993e-267 2.0735334675318 0.992 0.266 9.23018424919682e-263 1 CST3
LYZ 6.17058647082336e-266 3.12325463761467 1 0.517 2.02012659881815e-261 1 LYZ
TYMP 7.43948664096117e-238 1.79379117504244 0.916 0.223 2.43553913651787e-233 1 TYMP
CFD 1.7546392394585e-234 1.62837336350087 0.789 0.106 5.74433794213923e-230 1 CFD
LST1 6.24394594434113e-230 1.47327607396047 0.958 0.223 2.0441430232584e-225 1 LST1
AIF1 1.60470994322173e-228 1.59863138546961 0.958 0.245 5.25349941211929e-224 1 AIF1
LGALS1 5.45100143517791e-228 1.78781655327321 0.979 0.365 1.78454884984855e-223 1 LGALS1
FTL 5.65411962103966e-215 1.81680218297777 1 0.987 1.85104568153596e-210 1 FTL
GPX1 4.04895254221606e-213 1.54653395218613 0.921 0.313 1.32554608327069e-208 1 GPX1
GSTP1 1.90354345101955e-212 1.70408614577578 0.939 0.353 6.23182054994779e-208 1 GSTP1
GRN 4.2517541573701e-212 1.67141878729306 0.754 0.129 1.39193927603982e-207 1 GRN
S100A6 5.21002388302171e-205 1.39688586309093 0.996 0.736 1.70565761882365e-200 1 S100A6
FTH1 5.05304998658176e-200 1.52365704027427 1 0.987 1.65426750460714e-195 1 FTH1
FCER1G 1.0356549871107e-194 1.28711178204074 0.939 0.229 3.39052729680301e-190 1 FCER1G
CTSS 2.02046553439666e-186 1.47842308896389 0.946 0.429 6.61460006650779e-182 1 CTSS
CD68 4.13078461973629e-186 1.4171590279819 0.718 0.113 1.35233626880927e-181 1 CD68
S100A4 2.78555079595944e-178 1.14662828710386 1 0.771 9.11933619581203e-174 1 S100A4
CEBPD 3.04154300422168e-177 1.50147348084337 0.691 0.121 9.95740348722092e-173 1 CEBPD
LGALS3 1.28762621107538e-171 1.54434193182225 0.714 0.143 4.21543068981858e-167 1 LGALS3
NPC2 4.76678009721278e-171 1.45950360402804 0.877 0.316 1.56054846822552e-166 1 NPC2
OAZ1 1.35145558553135e-169 0.982390643637547 0.996 0.893 4.42439529591253e-165 1 OAZ1
AP1S2 1.36497246961029e-168 1.49705040013148 0.762 0.195 4.46864687101016e-164 1 AP1S2
CDA 6.77823784211624e-168 1.4209075342766 0.545 0.058 2.21905950475201e-163 1 CDA
S100A11 3.55707721370793e-167 1.28897544575026 0.95 0.433 1.1645159382237e-162 1 S100A11
PSAP 4.21052572912436e-166 1.31806728853762 0.921 0.418 1.37844191320073e-161 1 PSAP
SAT1 1.59316367872795e-161 1.31099201128041 0.965 0.508 5.21569925141955e-157 1 SAT1
NCF2 1.57386636823083e-159 1.41256152044067 0.587 0.085 5.1525237163141e-155 1 NCF2
SERPINA1 4.17117446990964e-159 1.28384548231942 0.718 0.142 1.36555909795902e-154 1 SERPINA1
CFP 3.18289478743333e-158 1.33478195972195 0.643 0.112 1.04201609550992e-153 1 CFP
COTL1 1.01139925003635e-156 1.16040126751384 0.973 0.553 3.31111886476899e-152 1 COTL1
BLVRB 3.99455636189122e-155 1.3159798613104 0.551 0.075 1.30773786175595e-150 1 BLVRB
CSF3R 1.92412580465776e-153 1.27846540641472 0.459 0.04 6.29920305928856e-149 1 CSF3R
NUP214 3.50440179675784e-149 1.25122467685462 0.514 0.063 1.14727106022258e-144 1 NUP214
ALDH2 1.38528185710258e-148 1.23552934274763 0.445 0.038 4.53513574378242e-144 1 ALDH2
ASGR1 2.26596295933785e-147 1.1921299345529 0.367 0.016 7.41830953628026e-143 1 ASGR1
IFI30 3.36853998147503e-147 1.17405257367747 0.562 0.078 1.1027926191353e-142 1 IFI30
FCGRT 3.06889132297189e-145 1.40025101688331 0.653 0.14 1.00469364131454e-140 1 FCGRT
GABARAP 6.17671424105264e-145 1.22717306779274 0.873 0.405 2.02213270823581e-140 1 GABARAP
CYBA 2.50871276031639e-140 0.887250327894296 0.987 0.816 8.2130238347238e-136 1 CYBA
FPR1 2.81253083079853e-140 1.23344580716664 0.428 0.038 9.20766343386821e-136 1 FPR1
FOLR3 1.35338364149086e-139 1.15225177345332 0.301 0.004 4.43070736551277e-135 1 FOLR3
PYCARD 5.56386507765021e-137 1.14918769332106 0.808 0.275 1.82149814912112e-132 1 PYCARD
TKT 3.85849346590729e-135 1.23082602282399 0.779 0.257 1.26319359086873e-130 1 TKT
SPI1 1.51487580481735e-132 1.18438653818298 0.628 0.122 4.95940040981103e-128 1 SPI1
SLC7A7 1.45882902683193e-129 1.16260560637817 0.476 0.062 4.77591446804237e-125 1 SLC7A7
RAC1 5.74312980268977e-128 1.18031464852183 0.848 0.35 1.88018583480458e-123 1 RAC1
TSPO 1.05350408369383e-127 1.22938806287217 0.848 0.396 3.44896166919687e-123 1 TSPO
BRI3 8.19857844096517e-126 1.1554977885761 0.591 0.119 2.68405061000318e-121 1 BRI3
RBP7 1.55274419769717e-125 1.14482129748395 0.313 0.013 5.08337395442098e-121 1 RBP7
S100A12 7.78035084568945e-122 1.28930573193077 0.278 0.006 2.54713125986181e-117 1 S100A12
IFITM3 1.68953509158621e-118 1.19206425025813 0.624 0.138 5.53119998283493e-114 1 IFITM3
TNFSF13B 3.56586978519916e-118 1.3186052947336 0.503 0.087 1.1673944502785e-113 1 TNFSF13B
BST1 1.37541806113522e-114 0.942199502096302 0.319 0.02 4.50284364854449e-110 1 BST1
RNF130 3.4155059437452e-114 1.14348474877295 0.526 0.103 1.1181683358633e-109 1 RNF130
IGSF6 8.28919733766245e-114 1.09879835354292 0.397 0.045 2.71371742440393e-109 1 IGSF6
VCAN 1.87342952222135e-113 1.01672110766407 0.372 0.036 6.13323356984825e-109 1 VCAN
TALDO1 7.42920750070876e-112 1.04822919355437 0.752 0.286 2.43217395158204e-107 1 TALDO1
PLBD1 1.48046254265687e-111 1.14956471643509 0.347 0.031 4.84673827215005e-107 1 PLBD1
GAPDH 1.8667913147314e-111 0.871563057585876 0.965 0.826 6.11150140616765e-107 1 GAPDH
MNDA 1.47312644403099e-109 1.06300851127082 0.426 0.06 4.82272135246866e-105 1 MNDA
APOBEC3A 8.67388796711852e-109 1.28755738007989 0.424 0.059 2.83965744267526e-104 1 APOBEC3A
CTSH 2.1100914025352e-101 1.02987974911924 0.503 0.105 6.90801723361974e-97 1 CTSH
CTSB 4.25943773563876e-101 1.14781541650648 0.534 0.126 1.39445472589342e-96 1 CTSB
IFI6 3.99529713232203e-98 1.08207215473628 0.77 0.322 1.30798037517959e-93 1 IFI6
CPVL 6.79751140494932e-98 1.06559705302767 0.386 0.056 2.22536928375231e-93 1 CPVL
NEAT1 2.56346278020491e-97 0.909923608388786 0.916 0.579 8.39226444983482e-93 1 NEAT1
ODF3B 2.11943827295765e-95 1.02571046550612 0.395 0.061 6.93861701800877e-91 1 ODF3B
AP2S1 3.49990014111563e-91 1.02732921120771 0.697 0.277 1.14579730819843e-86 1 AP2S1
SMCO4 8.69661237440982e-90 0.96413088254733 0.357 0.05 2.84709695913429e-85 1 SMCO4
LILRA5 1.75692929771637e-89 0.903736528034031 0.386 0.061 5.75183513486387e-85 1 LILRA5
TGFBI 5.58687665100946e-88 0.878978489754153 0.357 0.052 1.82903167800748e-83 1 TGFBI
TMEM176B 1.05503816260295e-85 0.79477539482315 0.265 0.021 3.45398393672955e-81 1 TMEM176B
SH3BGRL3 4.60042525277902e-85 0.595845163696461 0.973 0.833 1.50608721925479e-80 1 SH3BGRL3
CD33 1.59232234087076e-83 0.842380374611374 0.28 0.028 5.21294487954271e-79 1 CD33
HLA-DRA 2.79704787032211e-83 0.552822110972383 0.939 0.476 9.15697531786053e-79 1 HLA-DRA
RAB32 5.31416914941772e-83 0.908766816551004 0.307 0.037 1.73975269613637e-78 1 RAB32
ARPC1B 9.34908421426611e-82 0.776208075515283 0.927 0.708 3.06070319006644e-77 1 ARPC1B
PLAUR 8.51561734648703e-79 0.907234133382701 0.367 0.066 2.78784280689292e-74 1 PLAUR
ANXA2 1.07156705234799e-78 0.914164876174364 0.76 0.366 3.50809621597684e-74 1 ANXA2
CAPG 2.86886082908501e-78 0.926500972626271 0.543 0.164 9.39207658225851e-74 1 CAPG
TMSB10 5.60662896276273e-78 0.393401690048291 1 0.992 1.83549818982926e-73 1 TMSB10
C1orf162 7.86497488959221e-78 0.87191385410445 0.733 0.313 2.5748354793547e-73 1 C1orf162
RGS2 2.09980727031982e-76 0.991683542986891 0.599 0.206 6.87434904157303e-72 1 RGS2
CEBPB 6.23867518883597e-76 0.853687655264048 0.666 0.248 2.04241748332112e-71 1 CEBPB
SRGN 1.49702933861808e-75 0.731759370227392 0.875 0.538 4.90097464876787e-71 1 SRGN
IL8 3.78247844815181e-75 1.30657275319112 0.273 0.032 1.23830779435594e-70 1 IL8
STX11 7.34515255968529e-75 0.978192910801247 0.388 0.077 2.40465604498977e-70 1 STX11
LY86 1.98503722099546e-74 0.904106789239326 0.486 0.126 6.49861485409495e-70 1 LY86
VIM 9.82831653146835e-74 0.748266216978282 0.921 0.775 3.21759426607211e-69 1 VIM
ATP6V0B 7.22082864651777e-73 1.07386389627768 0.651 0.268 2.36395488229699e-68 1 ATP6V0B
AGTRAP 2.96711324405962e-72 0.867894393779081 0.413 0.095 9.71373533840239e-68 1 AGTRAP
KLF4 5.57320296600035e-72 0.899541385547657 0.357 0.068 1.8245551870092e-67 1 KLF4
ARPC3 1.15779845010394e-70 0.603862818125786 0.944 0.789 3.79040056595028e-66 1 ARPC3
C19orf38 3.52078910402248e-70 0.849431328038107 0.324 0.056 1.15263593687488e-65 1 C19orf38
CCL3 3.74099779927521e-70 1.37945022168515 0.388 0.085 1.22472785952672e-65 1 CCL3
MSRB1 9.50071891392675e-69 0.788897431294311 0.33 0.059 3.11034535804134e-64 1 MSRB1
BLVRA 3.27607442873673e-68 1.08729825444043 0.457 0.126 1.07252124647983e-63 1 BLVRA
IL1B 3.7517169110008e-68 1.08838787303108 0.271 0.037 1.22823708232344e-63 1 IL1B
FGR 1.63315075540047e-66 0.776637129575069 0.505 0.152 5.34660894303007e-62 1 FGR
ATP5G2 3.65869878039807e-66 0.603220371169426 0.931 0.799 1.19778480672672e-61 1 ATP5G2
CTSZ 1.35108667587202e-65 0.766034829310376 0.332 0.064 4.42318755946981e-61 1 CTSZ
HLA-DRB1 3.35717937441628e-65 0.640573855962448 0.829 0.378 1.0990733835964e-60 1 HLA-DRB1
S100A10 7.78622182766382e-64 0.799713209229259 0.841 0.597 2.54905330194058e-59 1 S100A10
PRELID1 3.13233021943557e-62 0.856309686626478 0.747 0.409 1.02546226723882e-57 1 PRELID1
LINC00936 7.99935828294875e-62 1.11303926062699 0.564 0.217 2.61882991467176e-57 1 LINC00936
HCK 1.48421484931885e-61 0.744302222331272 0.395 0.096 4.85902257370006e-57 1 HCK
CTSD 3.47558438905887e-61 0.875044931258392 0.52 0.181 1.13783681729009e-56 1 CTSD
PGD 1.08401392090884e-60 0.79137407644223 0.332 0.07 3.54884477427135e-56 1 PGD
FGL2 1.49050495263927e-60 1.0152415309944 0.349 0.077 4.87961511395044e-56 1 FGL2
MPEG1 6.72901215031411e-60 0.796682049648079 0.315 0.063 2.20294399776983e-55 1 MPEG1
SLC11A1 2.25860751788094e-59 0.729295835372949 0.28 0.048 7.39422929203861e-55 1 SLC11A1
EIF4EBP1 2.6035542508216e-59 0.747134278440687 0.34 0.075 8.52351590633975e-55 1 EIF4EBP1
MT-ND1 9.70322026997178e-59 0.471322334207263 0.977 0.939 3.17664025198336e-54 1 MT-ND1
TIMP1 5.33099652228161e-58 0.701908641064588 0.633 0.262 1.74526164146455e-53 1 TIMP1
MAFB 5.34272201953265e-58 0.9360720410706 0.29 0.056 1.7491003347546e-53 1 MAFB
SERF2 1.13694639119056e-57 0.548346464331218 0.954 0.835 3.72213509547967e-53 1 SERF2
SCO2 1.68724415644227e-57 0.771388024936553 0.355 0.084 5.52369991936069e-53 1 SCO2
APLP2 1.85706297336472e-57 0.808439346752932 0.409 0.113 6.07965276220142e-53 1 APLP2
PILRA 2.25857625401063e-57 0.648826719623295 0.332 0.07 7.39412694038001e-53 1 PILRA
C20orf24 3.43040005685477e-57 0.831964274243998 0.587 0.248 1.12304437061311e-52 1 C20orf24
NFKBIA 3.8771483143449e-56 0.889376864196274 0.712 0.4 1.26930081515023e-51 1 NFKBIA
ACTB 9.51291348872684e-56 0.364266060950913 0.998 0.992 3.11433761793939e-51 1 ACTB
CNPY3 3.99348732386383e-55 0.894169610690767 0.553 0.218 1.30738788008654e-50 1 CNPY3
FCGR2A 1.29177002432722e-54 0.8867392294261 0.261 0.046 4.22899670564246e-50 1 FCGR2A
FKBP1A 3.45298893060615e-54 0.721640987773368 0.727 0.408 1.13043951610184e-49 1 FKBP1A
HLA-DRB5 3.91363477282418e-54 0.619649866562135 0.674 0.28 1.28124575192718e-49 1 HLA-DRB5
TMSB4X 3.43915325709231e-52 0.282843270664236 1 1 1.12590999330688e-47 1 TMSB4X
RNASE6 5.83601127314956e-52 0.68818152822123 0.292 0.059 1.9105933706037e-47 1 RNASE6
PFDN5 6.63090475813018e-52 0.476402281167582 0.983 0.912 2.17082559971666e-47 1 PFDN5
TBXAS1 1.10769633436114e-51 0.667256965690806 0.315 0.072 3.62637625943151e-47 1 TBXAS1
EIF4A1 1.18733563580801e-51 0.649675635549666 0.839 0.651 3.88709940450828e-47 1 EIF4A1
PGLS 1.81869730820324e-50 0.718670508513526 0.564 0.239 5.95405124759576e-46 1 PGLS
HLA-DMA 2.27478047390656e-50 0.67336062017001 0.549 0.203 7.44717631547529e-46 1 HLA-DMA
STXBP2 6.38525379452234e-50 0.785368875000276 0.497 0.189 2.09040438725072e-45 1 STXBP2
C4orf48 4.98719056530523e-49 0.761941992306941 0.374 0.112 1.63270644726962e-44 1 C4orf48
GCA 5.00382917149602e-49 0.68168878533427 0.332 0.086 1.63815359416437e-44 1 GCA
IFNGR2 7.59978577624963e-48 0.813908677571081 0.374 0.109 2.4880178674286e-43 1 IFNGR2
SERPINB1 1.73910165291418e-47 0.854463684968513 0.62 0.309 5.69347099131045e-43 1 SERPINB1
C5AR1 1.9969884068113e-47 0.841777639870668 0.273 0.06 6.53774064621885e-43 1 C5AR1
ALDOA 4.96879849579326e-47 0.590865713851855 0.848 0.676 1.6266852515528e-42 1 ALDOA
ASAH1 7.6303559909968e-47 0.742834275635868 0.497 0.191 2.49802594433253e-42 1 ASAH1
